代码,晨星专属号,名称,类型,三年评级,五年评级,今年回报率
360013, 0P0000STW8, 光大保德信信用添益债券A, 普通债券型基金,5,5,-3.6
48, 0P0000Y603, 华夏双债债券C, 积极债券型,5,5,2.22
165509, 0P0000ZN08, 信诚增强收益债券 (LOF), 普通债券型基金,5,5,6.41
2738, 0P000180P1, 泓德裕康债券A, 积极债券型,5,0,3.65
4267, 0P00019LLB, 金鹰持久增利债券(LOF)E, 普通债券型基金,5,0,0.33
4427, 0P0001A99B, 交银施罗德增利增强债券A, 积极债券型,5,0,0.07
4428, 0P0001A99C, 交银施罗德增利增强债券C, 积极债券型,5,0,0.02
151002, F020151002, 银河收益债券, 积极债券型,5,5,2.29
50116, 0P0000OQ3Y, 博时宏观回报债券 - C, 积极债券型,5,3,0
3656, 0P00019Z16, 民生加银鑫元纯债债券A, 普通债券型基金,5,0,0.23
3657, 0P00019Z17, 民生加银鑫元纯债债券C, 普通债券型基金,5,0,0.18
160513, 0P000136M4, 博时稳健回报债券(LOF) - A, 普通债券型基金,5,3,1.62
206004, 0P0000NR3J, 鹏华信用增利债券 - B, 普通债券型基金,5,5,2.85
1001, F020001001, 华夏债券 - A/B, 普通债券型基金,5,5,0.56
2794, 0P00017ZOB, 天弘永利债券 - E, 普通债券型基金,5,0,2.16
1003, F0000003ZF, 华夏债券 - C, 普通债券型基金,5,4,0.65
519134, 0P000188EL, 海富通富祥混合, 积极债券型,5,0,5.67
2739, 0P000180P2, 泓德裕康债券C, 积极债券型,5,0,3.62
675081, 0P0001954C, 西部利得祥盈债券A, 积极债券型,5,0,3.59
162105, 0P00015HW3, 金鹰持久增利债券(LOF)C, 普通债券型基金,5,5,0.29
50016, 0P0000OQ3W, 博时宏观回报债券A/B, 积极债券型,5,3,0
50023, 0P0000V437, 博时天颐债券A, 积极债券型,5,3,0.46
3349, 0P00018QIA, 长信稳益纯债债券, 纯债基金,5,0,0.16
206003, 0P0000NR3I, 鹏华信用增利债券 - A, 普通债券型基金,5,5,2.89
3838, 0P0001981F, 东方臻享纯债债券C, 纯债基金,5,0,-0.15
160514, 0P000136M5, 博时稳健回报债券(LOF) - C, 普通债券型基金,5,3,1.59
420102, F00000049I, 天弘永利债券 - B, 普通债券型基金,5,5,2.15
2490, 0P0001C5BO, 金鹰元祺信用债债券, 普通债券型基金,5,0,0.95
420002, F00000049H, 天弘永利债券 - A, 普通债券型基金,5,5,2.11
4401, 0P00019SGO, 金信民兴债券C, 纯债基金,5,0,-0.17
3426, 0P00018X1B, 江信添福债券C, 普通债券型基金,5,0,-0.17
2587, 0P00019HXA, 金鹰添利中长期信用债债券C, 普通债券型基金,5,0,0.48
206018, 0P0000XUIE, 鹏华产业债债券, 普通债券型基金,5,5,-0.3
675111, 0P00019NHG, 西部利得汇享债券A, 普通债券型基金,5,0,-0.37
675113, 0P00019NHH, 西部利得汇享债券C, 普通债券型基金,5,0,-0.39
3376, 0P00018OL5, 广发中债7-10年期国开行债券指数A, 纯债基金,5,0,-0.3
4127, 0P00019GVL, 鹏华丰康债券, 纯债基金,5,0,0.28
3728, 0P00019CL6, 融通通宸债券, 纯债基金,5,0,-0.03
2996, 0P0001981K, 长信稳健纯债债券A, 纯债基金,5,0,0.03
4200, 0P00019IR1, 博时富瑞纯债债券A, 纯债基金,5,0,0.35
3156, 0P00018JRS, 招商招悦纯债债券A, 纯债基金,5,0,0.4
3498, 0P000198PL, 新疆前海联合添和纯债债券A, 纯债基金,5,0,-0.02
3407, 0P00019BEH, 景顺长城景泰丰利纯债债券A, 纯债基金,5,0,-0.13
2586, 0P00019HX9, 金鹰添利中长期信用债债券A, 普通债券型基金,5,0,0.4
2405, 0P0001B9AJ, 光大保德信中高等级债券A, 普通债券型基金,5,0,-1.83
3408, 0P00019BEI, 景顺长城景泰丰利纯债债券C, 纯债基金,5,0,-0.18
3547, 0P00018WDP, 鹏华丰禄债券, 纯债基金,5,0,0.26
2406, 0P0001B9AK, 光大保德信中高等级债券C, 普通债券型基金,5,0,-1.88
3377, 0P00018OL6, 广发中债7-10年期国开行债券指数C, 纯债基金,5,0,-0.34
3358, 0P00018OL4, 易方达中债7-10年期国开行债券指数A, 纯债基金,5,0,-0.4
3327, 0P00018MQ6, 万家鑫璟纯债债券A, 纯债基金,5,0,0.09
355, 0P0000ZR3C, 南方丰元信用增强债券 - A, 纯债基金,5,3,0.66
400030, 0P00014NH6, 东方添益债券, 纯债基金,5,5,0.39
4441, 0P00019VTQ, 富荣富兴纯债债券, 纯债基金,5,0,-0.19
3328, 0P00018MQ7, 万家鑫璟纯债债券C, 纯债基金,5,0,0.06
3157, 0P00018JRT, 招商招悦纯债债券C, 纯债基金,5,0,0.4
2073, 0P0001755S, 圆信永丰兴融债券A, 纯债基金,5,5,0.39
4920, 0P0001BD02, 富国泓利纯债债券A, 纯债基金,5,0,0.32
3860, 0P00019CLI, 招商招旭纯债债券C, 纯债基金,5,0,0.51
2354, 0P000179WB, 博时裕腾纯债债券, 纯债基金,5,0,0.41
3673, 0P0001967Z, 中加丰裕纯债债券, 纯债基金,5,0,-0.01
501105, 0P0001AELK, 建信中证政策性金融债8-10年指数（LOF）, 纯债基金,5,0,-0.43
84, 0P0000YCIN, 博时安盈债券A, 短债基金,5,0,0.34
129, 0P0000YLI0, 大成景安短融债券B, 短债基金,5,0,0.23
1717, 0P000176PX, 工银瑞信前沿医疗股票A, 行业股票 - 医药,4,0,22.85
162412, 0P00015YVZ, 华宝中证医疗指数, 行业股票 - 医药,4,2,18.96
3999, 0P00019VTR, 富荣富祥纯债债券, 纯债基金,5,0,-0.43
3568, 0P000195PG, 平安惠利纯债债券, 纯债基金,5,0,0.11
1578, 0P00016A01, 博时裕瑞纯债债券, 纯债基金,5,5,0.2
4388, 0P00019RVD, 鹏华丰享债券, 纯债基金,5,0,0.35
356, 0P0000ZR3D, 南方丰元信用增强债券 - C, 纯债基金,5,3,0.62
1776, 0P00016OWL, 中欧兴利债券, 纯债基金,5,5,0.27
2486, 0P00017KSW, 上银慧添利债券, 纯债基金,5,0,0.4
3847, 0P0001985K, 华安鼎丰债券, 纯债基金,5,0,0.19
3188, 0P00019M6U, 博时聚源纯债债券A, 纯债基金,5,0,-0.17
5010, 0P0001BHSI, 金鹰添瑞中短债债券A, 短债基金,5,0,0.24
913, 0P000157OE, 农银医疗保健主题股票, 行业股票 - 医药,4,4,26.32
3834, 0P0001ACCP, 华夏能源革新股票, 普通股票型,4,0,7.81
541, 0P00011XG7, 华商创新成长灵活配置混合, 积极配置型,4,2,15.38
1171, 0P00015QIY, 工银瑞信养老产业股票, 行业股票 - 医药,4,4,24.16
780, 0P00013XZW, 鹏华医疗保健股票, 行业股票 - 医药,4,3,18.81
1790, 0P0001B6HP, 国泰智能汽车股票A, 普通股票型,4,0,9.97
161706, F0000003YH, 招商优质成长混合 (LOF), 积极配置型,4,4,16.38
270007, F00000043H, 广发大盘成长混合, 积极配置型,4,5,19.19
160624, 0P00011FQB, 鹏华消费领先混合, 积极配置型,4,3,14.01
370027, 0P0000XYDD, 上投摩根智选30混合, 积极配置型,4,4,17.54
90018, 0P0000VE3A, 大成新锐产业混合, 积极配置型,4,4,23.81
4235, 0P00019LX7, 中欧价值智选回报混合C, 积极配置型,4,0,17.51
117, 0P0000YKZV, 广发轮动配置混合, 积极配置型,4,3,16.25
519698, F0000004ET, 交银先锋混合, 积极配置型,4,2,17.14
310388, F0000004FM, 申万菱信消费增长混合, 积极配置型,4,4,18.05
2300, 0P0001785F, 长盛医疗行业量化配置股票, 行业股票 - 医药,4,0,21.03
502056, 0P00016AJE, 广发中证医疗指数（LOF）A, 行业股票 - 医药,4,2,19.82
529, 0P00011UFQ, 广发竞争优势灵活配置混合, 积极配置型,4,4,19.65
399011, 0P000166YQ, 中海医疗保健主题股票, 行业股票 - 医药,4,5,18.75
519673, 0P00014HLT, 银河康乐股票, 行业股票 - 医药,4,5,11.88
167, 0P0000Z8WO, 广发聚优灵活配置混合A, 积极配置型,4,4,16.94
1985, 0P000170F9, 富国低碳新经济混合A, 积极配置型,4,5,8.8
1915, 0P00016Y4N, 宝盈医疗健康沪港深股票, 沪港深股票型基金,4,0,13.92
550009, F0000004IM, 信诚中小盘混合, 积极配置型,4,2,14.89
634, 0P00012UGD, 富国天盛灵活配置混合, 积极配置型,4,5,15.06
70021, 0P0000Q6RW, 嘉实主题新动力混合, 积极配置型,4,3,13.97
4374, 0P00019SO3, 华泰保兴吉年丰混合A, 积极配置型,4,0,20.03
270021, F0000004FU, 广发聚瑞混合A, 积极配置型,4,4,12.61
4375, 0P00019SO4, 华泰保兴吉年丰混合C, 积极配置型,4,0,20
160605, F0000003VY, 鹏华中国50混合, 积极配置型,4,2,13.02
110015, F0000004EK, 易方达行业领先混合, 积极配置型,4,4,16.36
519095, 0P0000OP9P, 新华行业周期轮换混合, 积极配置型,4,3,11.63
1576, 0P0001ACL7, 国泰智能装备股票A, 普通股票型,4,0,9.74
450011, 0P0000VVE6, 国富研究精选混合, 积极配置型,4,3,25.4
90016, 0P00012K9D, 大成消费主题混合, 积极配置型,4,2,19.82
778, 0P00014FGC, 鹏华先进制造股票, 普通股票型,4,4,15.25
1869, 0P00016WTK, 招商制造业转型灵活配置混合A, 积极配置型,4,5,13.76
160603, F020206102, 鹏华普天收益混合, 积极配置型,4,4,14.27
202027, 0P00013P60, 南方高端装备灵活配置混合A, 积极配置型,4,4,16.03
450003, F000000425, 富兰克林国海潜力组合混合A 人民币, 积极配置型,4,4,23.24
217020, 0P0001BRWV, 招商安达灵活配置混合, 积极配置型,4,0,12.59
217010, F0000004AB, 招商大盘蓝筹混合, 积极配置型,4,3,14.74
4434, 0P00019WPU, 博时逆向投资混合A, 积极配置型,4,0,20.54
609, 0P000131M7, 华商新量化灵活配置混合, 积极配置型,4,4,15.75
470008, F0000004HZ, 汇添富策略回报混合, 积极配置型,4,3,17.12
519736, 0P00012MO2, 交银新成长混合, 积极配置型,4,5,23.11
270050, 0P0000XU4E, 广发新经济混合A, 积极配置型,4,5,11.97
4435, 0P00019WPV, 博时逆向投资混合C, 积极配置型,4,0,20.48
519688, F0000003YC, 交银精选混合, 积极配置型,4,5,23.22
4784, 0P0001BI6K, 招商稳健优选股票, 普通股票型,4,0,12.5
960021, 0P00017JTP, 富兰克林国海潜力组合混合H 人民币, 积极配置型,4,0,22.64
200012, 0P0000RXU4, 长城中小盘成长混合, 积极配置型,4,5,12.96
481015, 0P0000U0ZS, 工银主题策略混合, 积极配置型,4,2,6.63
163406, F0000004JE, 兴全合润混合, 积极配置型,4,5,13.81
1476, 0P0001660F, 中银智能制造股票, 普通股票型,4,3,17.2
690004, 0P0000O9AQ, 民生加银稳健成长混合, 积极配置型,4,4,10.58
513, 0P00013452, 富国高端制造行业股票, 普通股票型,4,3,16.29
1883, 0P00016S5S, 中欧新动力混合(LOF) -E, 积极配置型,4,4,10.42
940, 0P00015460, 富国中小盘精选混合, 积极配置型,4,3,12.19
4505, 0P00019ZC9, 博时新兴消费主题混合, 积极配置型,4,0,20.07
206007, 0P0000RUX8, 鹏华消费优选混合, 积极配置型,4,4,14.09
527, 0P00011RK1, 南方新优享灵活配置混合A, 积极配置型,4,5,16.81
166006, F0000004I6, 中欧行业成长混合(LOF) -A, 积极配置型,4,5,17.14
4236, 0P00019LX6, 中欧新动力混合(LOF) -C, 积极配置型,4,0,10.32
967, 0P000156JG, 华泰柏瑞创新动力灵活配置混合, 积极配置型,4,4,13.98
1645, 0P0001755W, 国泰大健康股票A, 普通股票型,4,0,9.17
360006, F00000040M, 光大保德信新增长混合, 积极配置型,4,4,10.7
4569, 0P0001AFK1, 招商制造业转型灵活配置混合C, 积极配置型,4,0,13.64
206012, 0P0000VN9R, 鹏华价值精选股票, 普通股票型,4,4,14.12
166009, 0P0000S1OY, 中欧新动力混合(LOF) -A, 积极配置型,4,4,10.42
1268, 0P00016072, 富国国家安全主题混合, 积极配置型,4,2,11.71
5207, 0P0001C9JW, 南方高端装备灵活配置混合C, 积极配置型,4,0,15.91
1886, 0P00016S5V, 中欧行业成长混合(LOF) -E, 积极配置型,4,5,17.14
1158, 0P00015QIW, 工银瑞信新材料新能源行业股票, 普通股票型,4,3,22.73
161610, F00000042M, 融通领先成长混合(LOF)A, 积极配置型,4,3,17.33
2562, 0P00017NDI, 泓德泓益量化混合, 积极配置型,4,0,15.2
70099, F00000044D, 嘉实优质企业混合, 积极配置型,4,3,15.29
290011, 0P0000U02T, 泰信中小盘精选混合, 积极配置型,4,3,1.12
750001, 0P0000W75L, 安信灵活配置混合, 积极配置型,4,4,14.32
700003, 0P0000VVO0, 平安策略先锋混合, 标准混合型基金,4,2,13.15
163804, F00000040U, 中银收益混合A, 积极配置型,4,4,17.35
217009, F000000427, 招商核心价值混合, 积极配置型,4,3,17.14
217013, F0000004I4, 招商中小盘精选混合, 积极配置型,4,3,15.46
121008, F00000047P, 国投瑞银成长优选混合, 积极配置型,4,3,15.43
519672, 0P0000OMSN, 银河蓝筹混合, 积极配置型,4,4,9.03
1677, 0P00016YVN, 中银战略新兴产业股票A, 普通股票型,4,5,21.24
530006, F0000004DK, 建信核心精选混合, 积极配置型,4,4,9.59
660012, 0P0000VPPL, 农银消费主题混合A, 积极配置型,4,3,13.83
1039, 0P00015T6Z, 嘉实先进制造股票, 普通股票型,4,4,9.19
690011, 0P0000XSUU, 民生加银积极成长混合, 积极配置型,4,3,11.95
4183, 0P0001AEUM, 富国产业升级混合, 积极配置型,4,0,16.46
519035, F00000042L, 富国天博创新混合, 积极配置型,4,3,17.76
460007, F0000004GF, 华泰柏瑞行业领先混合, 积极配置型,4,4,9.66
5402, 0P0001CAK6, 广发资源优选股票A, 普通股票型,4,0,31.59
2229, 0P00017HOO, 华夏经济转型股票, 普通股票型,4,0,7.46
1193, 0P000163SF, 中金消费升级股票, 普通股票型,4,3,15.5
594, 0P00012UG4, 大摩进取优选股票, 普通股票型,4,3,33.84
